full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 30/12/20 se informa que ha dejado de tener esa propiedad por Disolución de comunidad generando un incremento de 14549.09 euros en el saldo de sus depósitos.
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 31/08/21 se informa que con fecha 26/07/21 ha dejado de tener las tres propiedades ubicadas en Madrid adquiridas por donación por Disolución de comunidad generando un incremento de 275000 euros en el saldo de sus depósitos.
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 31/08/21 se informa que con fecha 26/07/21 ha dejado de tener las tres propiedades ubicadas en Madrid adquiridas por donación por Disolución de comunidad generando un incremento de 275000 euros en el saldo de sus depósitos.
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 31/08/21 se informa que con fecha 26/07/21 ha dejado de tener las tres propiedades ubicadas en Madrid adquiridas por donación por Disolución de comunidad generando un incremento de 275000 euros en el saldo de sus depósitos.
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mediante declaración de fecha 28/12/2021 se informa que el vehículo fue vendido por 36052 euros, cantidad con la que se canceló el crédito vehicular declarado el 30/12/20"
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 28/12/2021 se informa que  el crédito vehicular fue cancelado con el dinero de la venta del vehículo declarado el 30/12/20
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,vehiculos,,,,,,,,,,,,,,,,,,2020,Vehículo BMW X3 Drive,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,vehiculos,,,,,,,,,,,,,,,,,,2021,Vehículo BMW X5,,,,,,,,
ANTONIO SALVÁ VERD,AntonioSalváVerd,ANTONIO SALVÁ VERD,ILLES BALEARS,cantidad pagada por irpf,,,,,23528.05,,,,,,,,,,,,,,,,,,,,,,
ANTONIO SALVÁ VERD,AntonioSalváVerd,ANTONIO SALVÁ VERD,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venta del inmueble ""despacho profesional"" en Palma de Mallorca, en abril de 2022, obteniendo 120,000 euros y. cobro de generalis Seguros por un siniestro en septiembre de 2020, obteniendo 67,000 euros, asi mismo como consecuencia de las citadas operaciones se ha visto incrementado su patrimonio por las correspondientes cuantías."
