unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
Edmundobalfrancés,Edmundo  Bal Francés, Edmundo  ,Bal Francés,Cs,GPCs ,GP. Ciudadanos,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=211&idLegislatura=14
Eduardocarazohermoso,Eduardo  Carazo Hermoso, Eduardo  ,Carazo Hermoso,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=245&idLegislatura=14
Eduardoluisruiznavarro,Eduardo Luis  Ruiz Navarro, Eduardo Luis  ,Ruiz Navarro,VOX,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=217&idLegislatura=14
Edurneuriartebengoechea,Edurne  Uriarte Bengoechea, Edurne  ,Uriarte Bengoechea,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=30&idLegislatura=14
Elenacastillolópez,Elena  Castillo López, Elena  ,Castillo López,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=77&idLegislatura=14
Eloysuárezlamata,Eloy  Suárez Lamata, Eloy  ,Suárez Lamata,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=214&idLegislatura=14
Elviraramónutrabo,Elvira  Ramón Utrabo, Elvira  ,Ramón Utrabo,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=8&idLegislatura=14
Elviravelascomorillo,Elvira  Velasco Morillo, Elvira  ,Velasco Morillo,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=10&idLegislatura=14
Emiliojesúsdelvallerodríguez,Emilio Jesús  Del Valle Rodríguez, Emilio Jesús  ,Del Valle Rodríguez,VOX,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=175&idLegislatura=14
Enriquefernandosantiagoromero,Enrique Fernando  Santiago Romero, Enrique Fernando  ,Santiago Romero,IU/GCUP-EC-GC,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=45&idLegislatura=14
Estherpadillaruiz,Esther  Padilla Ruiz, Esther  ,Padilla Ruiz,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=173&idLegislatura=14
Estherpeñacamarero,Esther  Peña Camarero, Esther  ,Peña Camarero,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=18&idLegislatura=14
Evabravobarco,Eva  Bravo Barco, Eva  ,Bravo Barco,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=281&idLegislatura=14
Evapatriciabuenocampanario,Eva Patricia  Bueno Campanario, Eva Patricia  ,Bueno Campanario,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=314&idLegislatura=14
Ezequielgarcíanieto,Ezequiel García Nieto,Ezequiel,García Nieto    ,UP/GCUP-EC-GC,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,#N/A
Felipejesússiciliaalférez,Felipe Jesús  Sicilia Alférez, Felipe Jesús  ,Sicilia Alférez,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=259&idLegislatura=14
